date,return
2016-06-01,0.02064067987970622
2016-07-01,-0.056652591766745884
2016-08-01,-0.0015746690927026334
2016-09-01,-0.03322153987937107
2016-10-01,-0.04709932582949263
2016-11-01,-0.05834993798326157
2016-12-01,-0.07663014923379048
2017-01-01,0.011260862732703302
2017-02-01,-0.020412560210777034
2017-03-01,-0.030414688743852707
2017-04-01,-0.010467763692275414
2017-05-01,-0.00712207362241795
2017-06-01,0.02384290266929455
2017-07-01,0.013422877061355766
2017-08-01,0.006840598832411984
2017-09-01,-0.04748138947661967
2017-10-01,-0.06331640528898928
2017-11-01,-0.00947561051819975
2017-12-01,0.007823196787503066
2018-01-01,0.0184934458073448
2018-02-01,0.024653091007103917
2018-03-01,-0.008861535668566534
2018-04-01,-0.10226487851678538
2018-05-01,-0.05674966566703236
