date,MOM
2017-10-01,0.04668210563059788
2017-11-01,0.014003290950483117
2017-12-01,0.003262595811436033
2018-01-01,0.001742215363634782
2018-02-01,0.027440701552924385
2018-03-01,-0.002988654089683967
2018-04-01,0.03617884318044199
2018-05-01,0.03287621037918584
2018-06-01,-0.01862905751468565
2018-07-01,-0.002623823147251767
2018-08-01,0.03671692199862009
2018-09-01,-0.0040597323201951325
2018-10-01,0.030356480995684932
2018-11-01,0.040127721257209314
2018-12-01,0.0259908605495452
2019-01-01,0.018593660317036097
2019-02-01,0.024840857750945
2019-03-01,0.02302886297242654
2019-04-01,0.024121727581538684
2019-05-01,0.04212946023266195
2019-06-01,0.018703090534573478
2019-07-01,0.013992021324314464
2019-08-01,0.004318233819136685
2019-09-01,0.03870905146464332
2019-10-01,0.019036508689952117
