date,australia_hedged_return_usd,france_hedged_return_usd,germany_hedged_return_usd,japan_hedged_return_usd,switzerland_hedged_return_usd,united kingdom_hedged_return_usd
2005-03-01,-5.721378350663609,-2.069306942370298,-2.080577994970298,-0.04431618899473691,-0.6398882509678657,-4.967666783104551
2005-04-01,-5.715250512859911,-2.1031568861590944,-2.105739342159094,-0.13129806122580684,-0.6546429430744023,-4.834884059491167
2005-05-01,-5.653992325231973,-1.9281688090344935,-1.9332342144344934,-0.04294974289574478,-0.5648020290787729,-4.732883561040466
2005-06-01,-5.488174536425107,-2.0474407616561714,-2.0498301267561714,-0.021954172739130213,-0.6121601567434924,-4.591942985857606
2005-07-01,-5.7224595970454555,-2.131900261008743,-2.120325749508743,-0.08349291421123596,-0.6515139617752043,-4.762855225130457
2005-08-01,-5.630966330317914,-2.1294442084488265,-2.122301350448826,-0.03398554629999997,-0.67652570341381,-4.620555909583058
2005-09-01,-5.466717832329317,-2.0396441772721365,-2.046504977372136,0.07170437683333337,-0.5839450600375152,-4.434816751496635
2005-10-01,-5.502515957158593,-2.1702149326350844,-2.1561949276350845,-0.025559502103448366,-0.6845417928250338,-4.512569125193531
2005-11-01,-5.652063128563239,-2.3470260217236265,-2.3373425089236264,-0.02400455449999976,-0.8210539172427562,-4.620752673167842
2005-12-01,-5.67232517394746,-2.514592501163593,-2.509952632963593,-0.05745344688571437,-0.9432717240037461,-4.666263133096827
