date,us_ret_with_div_usd,us_ret_without_div_usd,rf_usd,australia_ret_with_div_usd,australia_ret_without_div_usd,france_ret_with_div_usd,france_ret_without_div_usd,germany_ret_with_div_usd,germany_ret_without_div_usd,japan_ret_with_div_usd,japan_ret_without_div_usd,switzerland_ret_with_div_usd,switzerland_ret_without_div_usd,united kingdom_ret_with_div_usd,united kingdom_ret_without_div_usd
2003-11-01,0.016594,0.015052,0.0007,-0.04447029742497899,-0.050054021031014306,0.01372139091048652,0.01370235751111859,0.016573576151152736,0.016526285002561814,-0.04955136845652164,-0.04961685482608691,0.025135995405513256,0.02510849072141408,0.007940213713061528,0.005110107702574362
2003-12-01,0.045476,0.04382,0.0008,0.003288746831362488,-0.002500860410228678,-0.016426155310782287,-0.016624772640917218,-0.014990599006830307,-0.01504237067075953,0.03135754668387092,0.030898463913978436,-0.025599072555044233,-0.025647084398558784,-0.007474660526969545,-0.008820545935133484
2004-01-01,0.023042,0.022019,0.0007,-0.04881040684113014,-0.048848604050149236,0.0012046531951572792,0.0011301502607850011,0.009098072921015943,0.007498560087371375,-0.005188667745744668,-0.005222803395744879,0.02811189500508049,0.02811189500508049,-0.05060335431344842,-0.05117971275223232
2004-02-01,0.015443,0.013958,0.0006,0.022436821278430052,0.01879549752200771,0.026520947295379793,0.026497333232373466,-0.0026763553471519375,-0.0026961952074368023,0.031950683999999896,0.03165512299999995,0.020205583200423316,0.016533900165940807,0.00500031323724115,0.0020754328688481483
2004-03-01,-0.010662,-0.011985,0.0009,0.06015726732884197,0.05148008106176616,0.011295674727999305,0.011127173352907693,-0.0007645182350543012,-0.0009225496778404452,0.12153932339565232,0.11367506576521746,0.0014013593089701182,0.001190662936493725,0.009617371728601887,0.0016813180968731078
2004-04-01,-0.024222,-0.025568,0.0008,-0.001608376357919994,-0.0030206487416362116,0.03209159027192432,0.03093429555951288,0.05144811319599629,0.04427732037234122,0.016871502881720568,0.01685588098494617,0.04561280722697436,0.03523770354838551,0.03748803022365932,0.03538230540768139
2004-05-01,0.014068,0.012384,0.0006,0.06958059587886045,0.06760002679629218,0.009211312734091592,-0.0035665463815831577,-0.013971692579666573,-0.020069995339833224,0.0035199138314607747,0.0034480467752808774,-0.03176544176055984,-0.03373904790640647,-0.003592236557447004,-0.006526560710638507
2004-06-01,0.021611,0.020049,0.0008,0.04689386822880204,0.04125203169808267,0.01361320194302662,0.007084715758274296,0.016228858126132284,0.013389232702124332,0.023802187763736216,0.023499939949450432,-0.019263412777494326,-0.019875243207289395,-0.009645800113573078,-0.012045553116910246
2004-07-01,-0.037698,-0.038792,0.001,-0.023130008817693004,-0.023437249429227647,-0.028264257722321884,-0.028539839035219394,-0.03997556935463886,-0.0406798541645198,-0.04491408600000002,-0.04495045399999997,-0.023944189029510787,-0.02569841105416526,-0.02324890176016914,-0.024991091313048996
2004-08-01,0.002703,0.001058,0.0011,0.027754759735564738,0.021172383036816456,-0.002607023807398967,-0.0026176467610533605,-0.019682431753096696,-0.020068228694118728,-0.009022329999999967,-0.009221692999999975,-0.003264762765589402,-0.0035768698093914253,0.028827131689853402,0.022023098853573675
2004-09-01,0.020556,0.019099,0.0011,0.04849473207105848,0.044002702848235486,0.011348411976857209,0.011270697044568179,0.021161901096572233,0.020380655860970265,-0.023305876000000003,-0.02706358600000003,0.007998268208815329,0.007569230777949132,0.04095645700151618,0.03916508198155211
2004-10-01,0.017806,0.016579,0.0011,-0.00637614182734092,-0.007458392810085868,-0.006000382585112263,-0.006232923293771453,-0.010075133403566028,-0.010075133403566028,-0.026622383326086907,-0.026650263945652175,-0.035955103572133384,-0.035973521953144516,0.0060630146783149375,0.004612637213105009
2004-11-01,0.048214,0.04432,0.0015,-0.0035994679377207017,-0.0089813805762331,-0.022732907274555902,-0.024309857426437098,0.0015298234965837043,0.0015250554975376751,-0.029325688916666648,-0.02940078525833323,-0.03177047957524293,-0.03177047957524293,-0.007189272519568024,-0.010720836801026534
