date,australia_ret_with_div_aud,australia_ret_without_div_aud,france_ret_with_div_eur,france_ret_without_div_eur,germany_ret_with_div_eur,germany_ret_without_div_eur,japan_ret_with_div_jpy,japan_ret_without_div_jpy,switzerland_ret_with_div_chf,switzerland_ret_without_div_chf,united kingdom_ret_with_div_gbp,united kingdom_ret_without_div_gbp,us_ret_with_div_usd,us_ret_without_div_usd,rf_usd
2007-09-01,0.0543308402,0.0498640445,0.0031116677,0.0029250032,0.0207006629,0.0206400151,0.009576893,0.0041873875,0.004660025,0.0037943136,0.0134316095,0.0117538873,0.040822,0.039306,0.0032
2007-10-01,0.033052026,0.0321296494,0.0280400774,0.0278918853,0.0259895435,0.0259855836,0.0079777915,0.0077803616,0.0213975692,0.0213782256,0.0436642454,0.0416736167,0.02591,0.02477,0.0032
2007-11-01,-0.036020882,-0.039879516,-0.028280033,-0.031245311,-0.023701179,-0.023710015,-0.054486755,-0.05456406,-0.038902763,-0.038902763,-0.042765015,-0.045593474,-0.049362,-0.051309,0.0034
2007-12-01,-0.020990332,-0.029944631,-0.011104518,-0.011868848,0.0139647991,0.0139558846,-0.032913577,-0.033559291,-0.024548417,-0.024548417,-0.000234996,-0.001145546,-0.004405,-0.006493,0.0027
2008-01-01,-0.113562337,-0.114225696,-0.136541315,-0.136817575,-0.125973593,-0.127586905,-0.092646982,-0.09271393,-0.107901859,-0.107983865,-0.088255066,-0.089604595,-0.062218,-0.063321,0.0021
2008-02-01,-0.002620175,-0.009007454,-0.018877951,-0.018972507,-0.003165102,-0.003262021,-0.01378665,-0.01412672,-0.012425641,-0.016410806,0.0063003277,0.0029858528,-0.021697,-0.023636,0.0013
2008-03-01,-0.040571571,-0.046668502,-0.018934866,-0.018952486,-0.026215871,-0.026710577,-0.071323423,-0.079996488,-0.035577932,-0.036976052,-0.016571196,-0.026033991,-0.010444,-0.012186,0.0017
2008-04-01,0.0483620948,0.0474302498,0.0695649941,0.064129715,0.053049508,0.0438529549,0.1065605852,0.1065066224,0.0685184721,0.0567073493,0.0529743458,0.0464570824,0.051199,0.049876,0.0018
2008-05-01,0.0268235541,0.0228682,0.0220525979,0.0034165139,0.0221492828,0.0058966779,0.0377398094,0.0376403848,0.0116400007,0.0061376815,-0.004656138,-0.012491802,0.023935,0.021621,0.0018
2008-06-01,-0.076441742,-0.07952744,-0.111568384,-0.115187376,-0.081862222,-0.083417869,-0.06028088,-0.060874517,-0.088561459,-0.089091957,-0.073106795,-0.076229813,-0.078436,-0.080249,0.0017
2008-07-01,-0.051667762,-0.052128284,-0.020161829,-0.025287422,-0.007464799,-0.008786389,-0.013120377,-0.013188842,0.011003086,0.0083430959,-0.034461814,-0.035704243,-0.013413,-0.014759,0.0015
2008-08-01,0.0421205559,0.0330361637,0.0261378062,0.0260969508,-0.003865108,-0.004079433,-0.034157884,-0.034428646,0.0236056469,0.0233113787,0.0513090589,0.04469893,0.010597,0.008608,0.0013
2008-09-01,-0.095280518,-0.100975913,-0.093871637,-0.094972662,-0.086212367,-0.086311318,-0.125962734,-0.13274365,-0.088270699,-0.088881925,-0.123082839,-0.12484841,-0.098172,-0.099959,0.0015
2008-10-01,-0.142120954,-0.143113952,-0.129026403,-0.129192199,-0.232725641,-0.232727563,-0.198494443,-0.198577464,-0.111142952,-0.122528521,-0.115918006,-0.117918514,-0.184833,-0.186319,0.0008
2008-11-01,-0.062739848,-0.069629992,-0.05296091,-0.057797551,-0.046785377,-0.046800848,-0.029179422,-0.029319528,-0.054547827,-0.054547827,-0.023971099,-0.030001544,-0.084681,-0.08742,0.0003
2008-12-01,0.0038870032,0.0010902106,-0.008208053,-0.009746165,0.0402605561,0.0402109019,0.03139496,0.0302745373,-0.040135957,-0.040513645,0.0350424376,0.0333270936,0.022232,0.019166,0.0
2009-01-01,-0.050365042,-0.050458955,-0.066270047,-0.066870034,-0.09211999,-0.095151362,-0.077482648,-0.077561607,-0.046438551,-0.046438551,-0.057785586,-0.058557073,-0.077471,-0.078863,0.0
2009-02-01,-0.048976072,-0.05881935,-0.093566407,-0.093645848,-0.09873653,-0.098879844,-0.044090473,-0.044646712,-0.094223208,-0.101533498,-0.062469594,-0.068432042,-0.100166,-0.103353,0.0001
2009-03-01,0.0786612983,0.0687278892,0.0341419632,0.0339764448,0.040317048,0.039946088,0.0286618947,0.018802025,0.0227252695,0.0203359164,0.0183825562,0.0130651905,0.086803,0.083548,0.0002
2009-04-01,0.0609185748,0.0603411076,0.13477786,0.1267989907,0.156294808,0.1423765602,0.0764425469,0.0763478373,0.1163538751,0.101211271,0.0942311756,0.0896194471,0.109466,0.107632,0.0001
2009-05-01,0.0180138375,0.0152509177,0.0477728505,0.0302175553,0.0410025254,0.0206972198,0.0710626668,0.0709189731,0.0324107154,0.0293130733,0.041870942,0.0359514027,0.067787,0.065137,0.0
2009-06-01,0.0414173987,0.0374580945,-0.028533625,-0.034403759,-0.022169666,-0.023212757,0.0397031683,0.0389756266,0.0082845051,0.0078009217,-0.025554098,-0.029688393,-0.003019,-0.004962,0.0001
2009-07-01,0.076244013,0.0758436809,0.0790974017,0.0776075428,0.0851927706,0.0843707574,0.0237988394,0.0237399555,0.0844278239,0.0822736758,0.0870401471,0.0854876709,0.081779,0.08036,0.0001
2009-08-01,0.0690206141,0.058970844,0.0763256217,0.0749889603,-0.001240755,-0.001455734,0.0164439743,0.0161079333,0.0492007693,0.0490526334,0.0808533887,0.0749759375,0.03151,0.029351,0.0001
2009-09-01,0.0627031539,0.0585491134,0.0498325173,0.0497075532,0.0334478265,0.0333366557,-0.043734277,-0.049738478,0.0281749516,0.0279862418,0.0417675016,0.040108193,0.045281,0.043643,0.0001
2009-10-01,-0.021265569,-0.022378161,-0.037764464,-0.037788548,-0.038495499,-0.038509544,-0.019204466,-0.019281959,-0.009916008,-0.019072307,-0.019596214,-0.020591914,-0.028072,-0.029326,0.0
2009-11-01,0.0163528982,0.0115372452,0.0109299801,0.0067929319,0.030687314,0.0306715009,-0.061068245,-0.061168458,-0.001930902,-0.001930902,0.0209856527,0.0162559677,0.057075,0.054619,0.0
2009-12-01,0.0353762002,0.033997366,0.0557511226,0.0540384233,0.0483220173,0.0483072994,0.0805501624,0.0796077664,0.039441594,0.0393923415,0.0418146578,0.040661148,0.028475,0.026449,0.0001
2010-01-01,-0.054547711,-0.054992819,-0.032734287,-0.032811708,-0.041133523,-0.043016293,-0.006911166,-0.006983286,-0.010706831,-0.010759863,-0.03045129,-0.031147221,-0.037172,-0.038184,0.0
2010-02-01,0.0170740826,0.010259653,-0.010194198,-0.010379423,-0.005374318,-0.005433978,-0.007107414,-0.007577333,0.0336149419,0.0334806961,0.0330062876,0.027956004,0.034744,0.032657,0.0
2010-03-01,0.0550067947,0.0486100213,0.0688209437,0.0687633371,0.0862987287,0.0859758545,0.1009952767,0.0916766043,0.0470690934,0.0388037174,0.0643788013,0.0584444338,0.063668,0.061985,0.0001
2010-04-01,-0.01177129,-0.012101559,-0.020949341,-0.022636589,0.0037239205,-0.003891181,0.00960722,0.0095519487,-0.01907073,-0.03097072,-0.009742805,-0.011945827,0.020036,0.018924,0.0001
