date,country,currency,mportret,mportretx
2012-03-30,UNITED KINGDOM,GBP,-0.004073746,-0.008218336
2012-04-30,UNITED KINGDOM,GBP,-0.006313181,-0.009013211
2012-05-31,UNITED KINGDOM,GBP,-0.062313371,-0.067392772
2012-06-29,UNITED KINGDOM,GBP,0.0506362311,0.0472141942
2012-07-31,UNITED KINGDOM,GBP,0.0128929655,0.0123569198
2012-08-31,UNITED KINGDOM,GBP,0.0170558776,0.0122202211
2012-09-28,UNITED KINGDOM,GBP,0.0119813073,0.0107870627
2012-10-31,UNITED KINGDOM,GBP,0.011711747,0.010058917
2012-11-30,UNITED KINGDOM,GBP,0.0208561047,0.0171782472
2012-12-31,UNITED KINGDOM,GBP,0.0105406936,0.0094792802
2013-01-31,UNITED KINGDOM,GBP,0.0618036473,0.0611331738
2013-02-28,UNITED KINGDOM,GBP,0.0268537988,0.0231499441
2013-03-28,UNITED KINGDOM,GBP,0.0123390588,0.0102294103
2013-04-30,UNITED KINGDOM,GBP,0.0080246639,0.0062802381
2013-05-31,UNITED KINGDOM,GBP,0.0255390841,0.0220695316
2013-06-28,UNITED KINGDOM,GBP,-0.046528119,-0.049407843
2013-07-31,UNITED KINGDOM,GBP,0.0660375181,0.0654520545
2013-08-30,UNITED KINGDOM,GBP,-0.021682676,-0.025905055
2013-09-30,UNITED KINGDOM,GBP,0.0114987034,0.0109932725
2013-10-31,UNITED KINGDOM,GBP,0.0268645856,0.025698092
2013-11-29,UNITED KINGDOM,GBP,-0.007512626,-0.00999272
2013-12-31,UNITED KINGDOM,GBP,0.0177909698,0.0169999997
2014-01-31,UNITED KINGDOM,GBP,-0.030326612,-0.030959555
2014-02-28,UNITED KINGDOM,GBP,0.0484218744,0.0453591042
2014-03-31,UNITED KINGDOM,GBP,-0.029252699,-0.031162207
2014-04-30,UNITED KINGDOM,GBP,0.0135149439,0.0113793363
2014-05-30,UNITED KINGDOM,GBP,0.0172436532,0.0148276634
2014-06-30,UNITED KINGDOM,GBP,-0.019409324,-0.021980855
2014-07-31,UNITED KINGDOM,GBP,-0.00982998,-0.011024632
2014-08-29,UNITED KINGDOM,GBP,0.0191491796,0.0151733424
2014-09-30,UNITED KINGDOM,GBP,-0.025525601,-0.025905041
2014-10-31,UNITED KINGDOM,GBP,-0.006604958,-0.007416511
2014-11-28,UNITED KINGDOM,GBP,0.028369946,0.0258690272
2014-12-31,UNITED KINGDOM,GBP,-0.016022444,-0.016803162
2015-01-30,UNITED KINGDOM,GBP,0.0254704624,0.0250050365
2015-02-27,UNITED KINGDOM,GBP,0.0310626328,0.0292502924
2015-03-31,UNITED KINGDOM,GBP,-0.019126953,-0.021607445
2015-04-30,UNITED KINGDOM,GBP,0.028613424,0.0269264061
2015-05-29,UNITED KINGDOM,GBP,0.0064338459,0.004001695
2015-06-30,UNITED KINGDOM,GBP,-0.051500921,-0.052376022
2015-07-31,UNITED KINGDOM,GBP,0.0221418421,0.0217529134
2015-08-28,UNITED KINGDOM,GBP,-0.055389679,-0.058826873
2015-09-30,UNITED KINGDOM,GBP,-0.018665501,-0.018884945
2015-10-30,UNITED KINGDOM,GBP,0.0408579996,0.0394195334
2015-11-30,UNITED KINGDOM,GBP,0.006155549,0.0048321431
2015-12-31,UNITED KINGDOM,GBP,-0.012619951,-0.013198182
2016-01-29,UNITED KINGDOM,GBP,-0.030552065,-0.031178981
2016-02-29,UNITED KINGDOM,GBP,0.0003197579,-0.001862114
2016-03-31,UNITED KINGDOM,GBP,0.0128151218,0.0103601895
2016-04-29,UNITED KINGDOM,GBP,0.0068750572,0.0048069917
2016-05-31,UNITED KINGDOM,GBP,0.0089631569,0.0065988878
2016-06-30,UNITED KINGDOM,GBP,0.0096642056,0.0084316442
2016-07-29,UNITED KINGDOM,GBP,0.0398607762,0.039115587
2016-08-31,UNITED KINGDOM,GBP,0.0209399908,0.0152491322
2016-09-30,UNITED KINGDOM,GBP,0.0095802937,0.0087897075
2016-10-31,UNITED KINGDOM,GBP,-0.000298979,-0.002185602
2016-11-30,UNITED KINGDOM,GBP,-0.023987582,-0.026417472
2016-12-30,UNITED KINGDOM,GBP,0.0498984993,0.0481795593
2017-01-31,UNITED KINGDOM,GBP,-0.001758491,-0.002282854
2017-02-28,UNITED KINGDOM,GBP,0.0331107694,0.0274597652
2017-03-31,UNITED KINGDOM,GBP,0.0130450775,0.0120661693
