month,currency,mportret,mportretx,USD_per_CHF
2018-11,CHF,-0.008256354009399999,-0.008256354009399999,0.9989
2018-12,CHF,-0.0475063950902,-0.0475063950902,1.0082
2019-01,CHF,0.07061368536479999,0.07050628358328,1.0104
2019-02,CHF,0.04063595520458,0.04063595520458,0.9986
2019-03,CHF,0.01397356922025,0.0072409948914,0.9995
2019-04,CHF,0.04286327366388,0.03018753215869,0.9917
2019-05,CHF,-0.0205409502198,-0.027644611689599998,0.9894
2019-06,CHF,0.03207239712447,0.03183973365348,1.0121
2019-07,CHF,0.00837722730387,0.00832666501449,1.0121
2019-08,CHF,-0.0029453456526,-0.0032665219157999997,1.0218
2019-09,CHF,0.008126575546199999,0.007328370558900001,1.0095
2019-10,CHF,0.005740398666399999,0.005659302942399999,1.007
2019-11,CHF,0.024250956907040003,0.024250956907040003,1.0072
2019-12,CHF,0.01197745560986,0.01197745560986,1.0177
2020-01,CHF,-0.00010653325199999999,-0.00020047161749999997,1.0311
2020-02,CHF,-0.075998940134,-0.075998940134,1.0244
2020-03,CHF,-0.0704944025208,-0.0789915250784,1.0424
2020-04,CHF,0.04689908966796,0.03266337841404,1.0308
2020-05,CHF,0.03292050019104,0.028604400723360002,1.0318
2020-06,CHF,0.020530160431199998,0.020457248568479997,1.0512
2020-07,CHF,0.00446470695474,0.00348488363238,1.0722
2020-08,CHF,0.0267221536785,0.0263538820755,1.099
2020-09,CHF,0.004178951061,0.0033190667568,1.093
2020-10,CHF,-0.058301454768000006,-0.05833338453600001,1.096
2020-11,CHF,0.09882081176627999,0.09759079434966,1.0977
2020-12,CHF,0.02561827295832,0.02530245143496,1.1256
2021-01,CHF,-0.010230305759999999,-0.010317772008,1.128
2021-02,CHF,-0.0003823042538,-0.0003823042538,1.1137
2021-03,CHF,0.07363250887679999,0.06446567692619999,1.0755
2021-04,CHF,0.01768002787584,0.0043461465168,1.0848
2021-05,CHF,0.036450367465839996,0.03258951031968,1.1078
2021-06,CHF,0.0413166266748,0.04096977150096,1.1016
2021-07,CHF,0.022227641662000003,0.022091118944000003,1.09
2021-08,CHF,0.02503715447818,0.02478157122259,1.0933
2021-09,CHF,-0.06090034970190001,-0.0616249754602,1.0837
2021-10,CHF,0.03858321616418,0.03854802431114,1.0838
2021-11,CHF,-0.0107883647766,-0.0107883647766,1.0854
2021-12,CHF,0.06508948482646,0.06508948482646,1.0858
2022-01,CHF,-0.064646572928,-0.0647337424,1.088
2022-02,CHF,-0.019748703998500004,-0.019748703998500004,1.0837
2022-03,CHF,0.0207314884776,0.0129500695256,1.076
2022-04,CHF,0.00441289696276,-0.0072237398662000005,1.0582
2022-05,CHF,-0.036880985580000004,-0.040948485480000005,1.02
2022-06,CHF,-0.08039148934740001,-0.0807129492169,1.0307
2022-07,CHF,0.05080135098528,0.050707694765039994,1.0308
2022-08,CHF,-0.0326254160355,-0.032891685198,1.0445
2022-09,CHF,-0.0732764960884,-0.0744822445092,1.0274
2022-10,CHF,0.04401502892563,0.04398442564083001,1.0051
2022-11,CHF,0.045730045818079997,0.045730045818079997,1.0352
2022-12,CHF,-0.0331213413384,-0.033196090767599995,1.0734
2023-01,CHF,0.06368231357793001,0.06358754325993,1.0821
2023-02,CHF,-0.016104690637,-0.016104690637,1.0801
2023-03,CHF,0.0277719737255,0.020080359812949998,1.0805
2023-04,CHF,0.0347443343499,0.0250118770293,1.113
2023-05,CHF,-0.025517322990000004,-0.030062933150000002,1.114
2023-06,CHF,0.00696379040442,0.0065747638834199994,1.1106
2023-07,CHF,0.0036455760744000002,0.0035559971808800006,1.1464
2023-08,CHF,-0.027581989512200002,-0.0279143172486,1.1386
2023-09,CHF,-0.0160874931616,-0.017597386111199997,1.1116
2023-10,CHF,-0.0575132538196,-0.0650741278052,1.1068
2023-11,CHF,0.04930389842756,0.04930389842756,1.1233
2023-12,CHF,0.024606540511230002,0.02451510285109,1.1563
2024-01,CHF,0.0140456092344,0.01392558675,1.164
2024-02,CHF,0.01840651854327,0.01840651854327,1.1401
2024-03,CHF,0.0368724570472,0.02867750233366,1.1254
2024-04,CHF,-0.021162170358,-0.026278472542,1.099
2024-05,CHF,0.05914221482232,0.05469501226560001,1.1004
2024-06,CHF,-0.0071565798516,-0.007468403956,1.1188
2024-07,CHF,0.0119583364804,0.0118644339583,1.1215
2024-08,CHF,0.0054909218844000005,0.00523023672656,1.1656
2024-09,CHF,-0.0135742836528,-0.014669611044399998,1.1804
2024-10,CHF,-0.036343007073,-0.036364352058,1.161
2024-11,CHF,3.61311456e-05,3.61311456e-05,1.1352
2024-12,CHF,-0.012303938540799999,-0.0123893652048,1.1216
