month,currency,mportret,mportretx,USD_per_GBP
2006-03,GBP,0.06146403560370001,0.04743094229334,1.7442
2006-04,GBP,0.014230062350399999,0.0066038535784000004,1.768
2006-05,GBP,-0.0871908080919,-0.0933712661178,1.8687
2006-06,GBP,0.03692224571175,0.0304778978745,1.8435
2006-07,GBP,0.02461649510454,0.01192100412316,1.8443
2006-08,GBP,0.014122390658999999,0.0015175023475299998,1.8941
2006-09,GBP,0.033372788701329995,0.02960327642462,1.8839
2006-10,GBP,0.0537305916132,0.049903208279100005,1.8765
2006-11,GBP,-0.0038971834875,-0.0118263817125,1.9125
2006-12,GBP,0.06669711116415,0.06510671442666001,1.9629
2007-01,GBP,-0.0032949956532,-0.004895584573500001,1.9587
2007-02,GBP,-0.0032866718035,-0.0080120224518,1.9589
2007-03,GBP,0.06276655183526,0.047038379630059995,1.9474
2007-04,GBP,0.0464432401114,0.04135861434015,1.9879
2007-05,GBP,0.050973511470479994,0.04343580016434,1.9842
2007-06,GBP,-0.0229019166939,-0.029518102515199998,1.9867
2007-07,GBP,-0.0709841115945,-0.0745251325305,2.0355
2007-08,GBP,-0.003627534306,-0.016489393589,2.011
2007-09,GBP,0.027110360614800003,0.02372404612632,2.0184
2007-10,GBP,0.08928901541846002,0.08521837878983,2.0449
2007-11,GBP,-0.08852785755150001,-0.09438305052740001,2.0701
2007-12,GBP,-0.0004737754356,-0.0023095352906,2.0161
2008-01,GBP,-0.1738801310332,-0.176538973069,1.9702
2008-02,GBP,0.01237762379942,0.00586600641088,1.9646
2008-03,GBP,-0.033167248794,-0.0521070329865,2.0015
2008-04,GBP,0.10497396363728001,0.09205935448384,1.9816
2008-05,GBP,-0.00914931117,-0.024546390930000002,1.965
2008-06,GBP,-0.143757201688,-0.14989830428319997,1.9664
2008-07,GBP,-0.0685376556832,-0.07100859847839999,1.9888
2008-08,GBP,0.09679453961485,0.084324531445,1.8865
2008-09,GBP,-0.22121678653469998,-0.224390047293,1.7973
2008-10,GBP,-0.1954609417172,-0.1988341983068,1.6862
2008-11,GBP,-0.036740503437299996,-0.0459833664888,1.5327
2008-12,GBP,0.052052036811039995,0.049504064833440005,1.4854
2009-01,GBP,-0.08356951447319999,-0.0846852389726,1.4462
2009-02,GBP,-0.0900936484668,-0.0986926909724,1.4422
2009-03,GBP,0.0260480821354,0.018513374938500003,1.417
2009-04,GBP,0.13863290554272,0.13184813057352002,1.4712
2009-05,GBP,0.0645566183756,0.05542987268286001,1.5418
2009-06,GBP,-0.041829503016200004,-0.048596930501700004,1.6369
2009-07,GBP,0.14255435292038002,0.14001170740002,1.6378
2009-08,GBP,0.13366682219884,0.12395021987500002,1.6532
2009-09,GBP,0.06817709286168,0.0654686034339,1.6323
2009-10,GBP,-0.0317693821368,-0.033383610976799996,1.6212
2009-11,GBP,0.03483408491673,0.026983280785229997,1.6599
2009-12,GBP,0.06784846374628001,0.0659767787448,1.6226
2010-01,GBP,-0.04920319438199999,-0.05032767969179999,1.6158
2010-02,GBP,0.051549219973680005,0.0436616870472,1.5618
2010-03,GBP,0.09694159899754,0.08800562841604,1.5058
2010-04,GBP,-0.014937668626,-0.018315341956399996,1.5332
2010-05,GBP,-0.09553301108270001,-0.1007188150324,1.4669
2010-06,GBP,-0.0627351226528,-0.067930998304,1.4768
2010-07,GBP,0.11094348722328001,0.10869922219568,1.5304
2010-08,GBP,-0.0035844160733,-0.0108236522454,1.5661
2010-09,GBP,0.09559828792026,0.09306194248116,1.5591
2010-10,GBP,0.03033627470064,0.02785147505073,1.5867
2010-11,GBP,-0.0412700480566,-0.045586398843700006,1.5961
2010-12,GBP,0.10515405551530002,0.1032362351264,1.5595
2011-01,GBP,-0.0056864502968,-0.007012329259000001,1.5782
2011-02,GBP,0.03850329967288,0.03149932043512,1.6124
2011-03,GBP,-0.022527774140299998,-0.0294457312864,1.6159
