date,REV
2021-03-01,-0.0076287937928872975
2021-04-01,-0.04534729242048237
2021-05-01,0.00720171024149383
2021-06-01,-0.023511837518677782
2021-07-01,-0.013078417135387883
2021-08-01,-0.013457059900662233
2021-09-01,0.0029014053711139505
2021-10-01,0.012140954519959165
2021-11-01,-0.03109170381818877
2021-12-01,-0.007757517255226866
2022-01-01,-0.02711441891624243
2022-02-01,-0.004583094027109832
2022-03-01,0.026285564652602247
2022-04-01,0.02810143122870793
2022-05-01,-0.021831921563327483
2022-06-01,-0.017047271483386334
2022-07-01,-0.010238423529713103
2022-08-01,-0.02812274181374916
2022-09-01,0.007228849352176315
2022-10-01,-0.019585805007694766
2022-11-01,-0.03673782623248598
2022-12-01,-0.023815458803844156
2023-01-01,-0.0172660585635858
2023-02-01,-0.04160742549085876
